역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
석계,6호선,1,9763,3067,4,1,2,14,14,222,9,58,1,8471,8583,24241
신내,6호선,1,106,752,,0,,2,2,0,,12,0,12169,12248,1
신당,6호선,2,15210,2984,3,1,1,14,14,46,9,42,0,3591,3506,17055
안암,6호선,1,6522,1777,3,1,2,6,6,24,13,34,1,3656,4285,24417
약수,6호선,2,7183,1909,,1,1,11,11,0,9,38,0,3,0,7097
역촌,6호선,1,2192,1926,,0,1,6,6,148,9,26,1,11491,11160,7941
연신내,6호선,2,3241,2419,1,1,1,6,6,0,,25,0,6536,7232,3
월곡,6호선,1,4663,1882,3,1,1,12,12,132,13,49,1,17031,16790,22651
월드컵경기장,6호선,1,7829,3376,,1,2,12,12,168,13,49,0,11759,12870,13768
응암,6호선,1,4799,3351,5,1,1,4,4,162,13,33,1,9447,9397,33821
이태원,6호선,1,4863,1934,1,1,1,4,4,10,51,30,0,3382,2844,24629
증산,6호선,1,3735,1987,3,1,1,6,6,80,9,30,0,3691,3604,18845
창신,6호선,1,4169,2040,,1,1,3,3,20,9,21,0,5727,6385,6227
청구,6호선,2,2080,2429,,0,1,10,10,0,,18,0,9980,11671,7295
태릉입구,6호선,2,6242,3288,9,0,1,17,17,0,,26,0,13736,13358,12112
한강진,6호선,1,4996,2444,2,1,1,4,4,20,13,31,0,11421,9085,21652
합정,6호선,2,6510,2435,11,1,1,16,16,250,25,49,1,7170,6514,27095
화랑대,6호선,1,7497,2610,5,1,1,4,4,225,13,40,0,38004,37956,20506
효창공원앞,6호선,1,4771,2022,2,1,1,6,6,24,9,28,0,14793,16391,13684
가산디지털단지,7호선,1,10116,2434,3,1,1,18,18,110,26,43,0,13322,13753,75960
강남구청,7호선,1,7987,2371,15,1,1,7,7,25,17,43,0,17704,14157,31184
건대입구,7호선,2,5154,2145,5,1,1,11,11,296,39,39,0,11845,11666,27075
고속터미널,7호선,3,9484,3426,17,1,1,21,21,60,26,43,0,19523,19280,31862
공릉,7호선,1,6386,2168,4,1,1,8,8,100,13,33,0,14578,11438,23511
광명사거리,7호선,1,6693,2020,8,1,1,2,2,204,26,36,1,1,0,38803
광명사거리,7호선,1,6693,2020,8,1,1,2,2,204,26,36,1,13677,14267,38803
광명사거리,7호선,1,6693,2020,8,1,1,2,2,204,26,36,1,10970,10412,38803
군자,7호선,2,5677,2276,9,1,,6,6,0,,31,0,13540,13586,26016
남구로,7호선,1,6638,1554,2,1,1,12,12,77,13,45,0,22418,23413,27945
남성,7호선,1,6731,2120,1,1,1,14,14,22,9,30,0,16872,17514,21383
내방,7호선,1,7871,2092,5,1,1,10,10,82,13,32,1,9213,9265,27126
노원,7호선,2,8884,2075,22,1,1,15,15,353,21,42,1,8704,10383,45832
논현,7호선,1,9388,2445,8,1,2,19,19,20,17,35,0,12526,11733,34386
대림,7호선,2,7052,2304,9,1,1,13,13,113,13,41,0,9837,9709,18478
도봉산,7호선,1,4626,2344,3,0,2,,,50,9,42,0,14484,13786,19088
