역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
당고개,4호선,17484,21579,9108,1,,,4.0,0.0,2.0,4.0,4.0,125.0,9.0,38,0.0
동대문,4호선,38620,50104,9993,2,6110.0,2108.0,9.0,0.0,1.0,10.0,10.0,38.0,47.0,53,0.0
동대문역사문화공원,4호선,35489,45578,16243,3,9676.0,3056.0,,0.0,2.0,6.0,6.0,0.0,28.0,49,0.0
동작,4호선,3197,18559,1195,2,5144.0,5392.0,2.0,1.0,1.0,,,70.0,15.0,66,0.0
명동,4호선,70530,131868,42859,1,3299.0,2832.0,1.0,0.0,1.0,6.0,6.0,0.0,126.0,59,0.0
미아,4호선,29514,43643,12715,1,3702.0,2064.0,1.0,1.0,1.0,6.0,6.0,97.0,9.0,51,1.0
미아사거리,4호선,51150,72561,23395,1,4203.0,2583.0,15.0,0.0,1.0,2.0,2.0,0.0,26.0,48,1.0
사당,4호선,48817,63806,17896,2,6738.0,2825.0,20.0,0.0,3.0,7.0,7.0,52.0,26.0,68,0.0
삼각지,4호선,13571,18053,4572,2,4787.0,2929.0,,0.0,1.0,4.0,4.0,7.0,13.0,47,0.0
상계,4호선,36069,45336,16319,1,4141.0,2424.0,7.0,0.0,1.0,4.0,4.0,120.0,13.0,51,0.0
서울역,4호선,33789,44780,16311,2,5833.0,2867.0,,0.0,1.0,4.0,4.0,20.0,26.0,,0.0
성신여대입구,4호선,42382,58906,16739,1,3967.0,2362.0,6.0,0.0,1.0,4.0,4.0,32.0,42.0,48,0.0
수유,4호선,65690,86742,31528,1,3951.0,2373.0,6.0,1.0,1.0,4.0,4.0,440.0,13.0,47,1.0
숙대입구,4호선,28543,41175,8212,1,3748.0,2026.0,1.0,0.0,1.0,,,10.0,13.0,43,0.0
신용산,4호선,39705,54742,14577,1,3631.0,2169.0,9.0,0.0,1.0,9.0,9.0,44.0,13.0,48,0.0
쌍문,4호선,54260,68731,23873,1,3709.0,2089.0,,1.0,1.0,6.0,6.0,96.0,9.0,24,0.0
이촌,4호선,18685,49323,4527,1,3747.0,2128.0,2.0,0.0,1.0,4.0,4.0,136.0,13.0,42,0.0
창동,4호선,53014,65601,21326,1,4425.0,1971.0,2.0,0.0,1.0,6.0,6.0,220.0,9.0,51,0.0
총신대입구,4호선,38791,49617,12565,1,5589.0,2360.0,17.0,0.0,1.0,4.0,4.0,71.0,26.0,,1.0
충무로,4호선,58478,83573,17278,2,9331.0,2474.0,5.0,2.0,1.0,24.0,24.0,10.0,34.0,65,0.0
한성대입구,4호선,27185,38007,10538,1,3246.0,1635.0,,0.0,1.0,2.0,2.0,12.0,13.0,33,1.0
혜화,4호선,71551,94452,24573,1,3598.0,1898.0,2.0,0.0,1.0,4.0,4.0,13.0,128.0,41,0.0
회현,4호선,52967,70320,9932,1,5253.0,2702.0,3.0,0.0,1.0,6.0,6.0,0.0,46.0,71,0.0
강동,5호선,34537,44250,11672,1,15965.0,3019.0,4.0,1.0,1.0,12.0,12.0,207.0,13.0,69,0.0
강일,5호선,11021,14627,3769,1,6046.0,2316.0,,0.0,2.0,16.0,16.0,138.0,,69,0.0
개롱,5호선,12789,18467,3907,1,4560.0,1880.0,,1.0,1.0,2.0,2.0,116.0,9.0,22,1.0
개화산,5호선,11238,14119,4696,1,3851.0,2129.0,,1.0,1.0,,,54.0,9.0,,0.0
거여,5호선,18944,26003,6239,1,4188.0,1816.0,,1.0,1.0,3.0,3.0,140.0,9.0,38,1.0
고덕,5호선,19876,26665,5343,1,4001.0,2286.0,1.0,1.0,1.0,6.0,6.0,185.0,9.0,37,1.0
공덕,5호선,27543,39713,6167,2,9683.0,1696.0,22.0,1.0,1.0,11.0,11.0,70.0,22.0,88,1.0
광나루,5호선,24374,33248,7578,1,5765.0,2230.0,3.0,1.0,1.0,4.0,4.0,95.0,13.0,40,0.0
광화문,5호선,64533,104133,22482,1,7805.0,1635.0,2.0,1.0,1.0,4.0,4.0,0.0,88.0,40,0.0
군자,5호선,23661,30839,8226,2,6325.0,2729.0,2.0,0.0,1.0,8.0,8.0,178.0,13.0,24,1.0
굽은다리,5호선,18763,23675,7547,1,3012.0,1826.0,3.0,1.0,1.0,4.0,4.0,75.0,13.0,30,0.0
길동,5호선,16460,20849,5721,1,3302.0,1704.0,,1.0,1.0,3.0,3.0,123.0,13.0,33,1.0
김포공항,5호선,18559,25273,11169,2,7521.0,3486.0,12.0,1.0,2.0,8.0,8.0,24.0,42.0,44,0.0
까치산,5호선,52311,66277,22341,1,4337.0,2757.0,8.0,1.0,1.0,12.0,12.0,99.0,17.0,41,1.0
답십리,5호선,28977,39368,9976,1,5981.0,1876.0,6.0,1.0,1.0,4.0,4.0,221.0,13.0,38,1.0
동대문역사문화공원,5호선,6142,8471,1772,3,5001.0,2561.0,,0.0,1.0,5.0,5.0,0.0,9.0,45,0.0
둔촌동,5호선,17393,23473,5023,1,3560.0,1782.0,3.0,1.0,1.0,4.0,4.0,277.0,13.0,31,0.0
마곡,5호선,22148,29832,4643,1,6567.0,2337.0,,0.0,1.0,12.0,12.0,364.0,9.0,50,1.0
마장,5호선,11044,14776,4042,1,5147.0,1976.0,,1.0,1.0,4.0,4.0,69.0,9.0,36,1.0
마천,5호선,13686,19477,5138,1,2656.0,1809.0,,1.0,1.0,10.0,10.0,25.0,9.0,34,1.0
마포,5호선,27852,56329,6895,1,4758.0,1995.0,3.0,1.0,1.0,10.0,10.0,50.0,13.0,30,0.0
명일,5호선,16967,22532,5196,1,3284.0,1806.0,3.0,1.0,1.0,2.0,2.0,67.0,9.0,32,0.0
목동,5호선,32453,43452,10540,1,5364.0,2027.0,5.0,1.0,1.0,4.0,4.0,210.0,17.0,31,1.0
미사,5호선,34687,45171,12232,1,11044.0,2976.0,,0.0,2.0,22.0,22.0,820.0,,49,0.0
발산,5호선,43574,56867,10729,1,4432.0,2375.0,3.0,1.0,1.0,,,142.0,13.0,34,0.0
방이,5호선,14456,19015,3804,1,3925.0,1863.0,1.0,1.0,1.0,2.0,2.0,68.0,9.0,40,1.0
방화,5호선,13146,20251,5633,1,5100.0,2302.0,2.0,1.0,1.0,6.0,6.0,83.0,9.0,,0.0
상일동,5호선,27080,35688,8392,1,6198.0,2039.0,,1.0,1.0,18.0,18.0,241.0,9.0,36,1.0
서대문,5호선,36573,54499,7308,1,4887.0,1920.0,7.0,2.0,1.0,10.0,10.0,89.0,17.0,40,1.0
송정,5호선,12051,14854,5397,1,4206.0,2308.0,3.0,1.0,1.0,4.0,4.0,56.0,9.0,29,0.0
신금호,5호선,12646,16160,4822,1,2578.0,2438.0,,1.0,1.0,12.0,12.0,4.0,9.0,45,0.0
신길,5호선,9601,25794,2859,1,5432.0,3503.0,3.0,0.0,1.0,9.0,9.0,75.0,9.0,45,0.0
신정,5호선,23262,30177,9168,1,4825.0,1589.0,,1.0,1.0,10.0,10.0,12.0,9.0,28,0.0
아차산,5호선,29120,37543,12268,1,4818.0,1835.0,4.0,1.0,1.0,8.0,8.0,92.0,13.0,32,0.0
애오개,5호선,12561,19700,3468,1,4013.0,1833.0,,1.0,1.0,6.0,6.0,35.0,9.0,35,0.0
양평,5호선,14024,19847,3377,1,5891.0,2047.0,,0.0,1.0,8.0,8.0,96.0,9.0,29,1.0
여의나루,5호선,30056,109491,7277,1,6638.0,2322.0,1.0,1.0,1.0,11.0,11.0,49.0,56.0,28,0.0
여의도,5호선,54963,149125,6955,2,10197.0,2691.0,4.0,1.0,1.0,4.0,4.0,89.0,38.0,40,1.0
영등포구청,5호선,8542,11669,1859,2,20239.0,2813.0,2.0,1.0,1.0,14.0,14.0,40.0,9.0,47,0.0
